party2016	party2016_votepercent	State	Total Cases	Total Death	Death_100k	CasesInLast7Days	CasesInLast7Days_100k	RatePer100000	totalTestResults	totalTestResults_100k	infection_rate	State of emergency	soe_to_sip	Stay at home/ shelter in place	sip_binary	sip_start_end	End/relax stay at home/shelter in place	Closed non-essential businesses	soe_biz_close	biz_close_binary	biz_close_open	Began to reopen businesses statewide	Mandate face mask use by employees in public-facing businesses	soe_face_mask	face_mask_binary	Weekly unemployment insurance maximum amount (dollars)	Population density per square miles	Population 2018	Percent living under the federal poverty line (2018)	Percent at risk for serious illness due to COVID	All-cause deaths 2018	all_death_rate18	Children 0-18	Adults 19-25	Adults 26-34	Adults 35-54	Adults 55-64	65+
Democrat	0.4645	Minnesota	38569	1511	26.9	3020	53.8	687.4	674015	12012	0.06	3/13/2020	15	3/28/2020	1	51	5/18/2020	3/28/2020	15	1	30	4/27/2020	6/1/2020	80	1	462	64.54	5611179	9.6	33.9	44745	0.00797426	0.24	0.08	0.13	0.25	0.14	0.16
Republican	0.5794	Mississippi	31257	1114	37.3	5365	179.6	1046.6	310141	10384.7	0.1	3/14/2020	20	4/3/2020	1	24	4/27/2020	4/3/2020	20	1	24	4/27/2020	5/7/2020	54	1	235	61.66	2986530	19.7	42.5	32301	0.010815562	0.26	0.09	0.11	0.25	0.13	0.16
Republican	0.5677	Missouri	23436	1028	16.8	3175	51.8	382.5	419509	6847.5	0.06	3/13/2020	24	4/6/2020	1	28	5/4/2020	3/23/2020	10	0	42	5/4/2020	0	0	0	320	87.89	6126452	13.2	40.5	63117	0.010302374	0.24	0.09	0.12	0.25	0.14	0.17
Republican	0.5647	Montana	1249	23	2.2	397	37.4	117.6	100106	9423.5	0.01	3/12/2020	16	3/28/2020	1	29	4/26/2020	3/28/2020	16	1	30	4/27/2020	0	0	0	552	7.22	1062305	13	39	9992	0.009405962	0.23	0.08	0.11	0.24	0.15	0.19
Republican	0.5875	Nebraska	19929	284	14.7	1154	59.8	1033	189928	9844.6	0.1	3/13/2020	0	0	0	0	0	4/3/2020	21	0	45	5/18/2020	5/4/2020	52	1	440	24.94	1929268	11	36.6	16904	0.008761872	0.26	0.09	0.12	0.25	0.13	0.16
Democrat	0.4792	Nevada	22646	557	18.4	6070	200	746.3	307697	10140.3	0.07	3/12/2020	19	3/31/2020	1	39	5/9/2020	3/21/2020	9	1	49	5/9/2020	5/9/2020	58	1	469	27.44	3034392	12.9	36.1	24715	0.00814496	0.24	0.08	0.13	0.27	0.13	0.16
Democrat	0.4683	New Hampshire	5897	381	28.1	226	16.7	434.7	123749	9123	0.05	3/13/2020	15	3/28/2020	1	80	6/16/2020	3/28/2020	15	1	44	5/11/2020	5/1/2020	49	1	427	145.09	1356458	7.6	40.5	12774	0.009417173	0.2	0.08	0.11	0.26	0.16	0.18
Democrat	0.5545	New Jersey	173402	15211	170.7	2529	28.4	1946.5	1534640	17226.7	0.11	3/9/2020	12	3/21/2020	1	80	6/9/2020	3/21/2020	12	1	58	5/18/2020	4/8/2020	30	1	713	1021.27	8908520	9.5	34.6	75765	0.00850478	0.23	0.08	0.11	0.27	0.14	0.16
Democrat	0.4826	New Mexico	13256	513	24.5	1637	78.1	632.6	372288	17766.7	0.04	3/11/2020	13	3/24/2020	1	105	0	3/24/2020	13	1	52	5/15/2020	5/6/2020	56	1	511	17.23	2095428	19.5	39.4	19007	0.009070701	0.24	0.09	0.12	0.24	0.13	0.18
Democrat	0.5614	New York	398828	31906	354.3	5100	26.1	4220.4	4233803	21664.9	0.09	3/7/2020	15	3/22/2020	1	107	0	3/22/2020	15	1	54	5/15/2020	4/17/2020	41	1	504	358.21	19542209	13.6	36.9	157183	0.008043257	0.22	0.09	0.13	0.26	0.14	0.16
Republican	0.4983	North Carolina	72983	1396	13.4	12446	119.9	702.9	1036838	9985.3	0.07	3/10/2020	20	3/30/2020	1	53	5/22/2020	3/30/2020	20	1	39	5/8/2020	6/26/2020	108	1	350	192.94	10383620	14	39	93885	0.009041644	0.24	0.08	0.12	0.26	0.13	0.16
Republican	0.6296	North Dakota	3816	80	10.5	358	47.1	502.1	113128	14883.8	0.03	3/13/2020	0	0	0	0	0	3/20/2020	7	0	42	5/1/2020	4/28/2020	46	1	618	10.75	760077	10.7	34.6	6445	0.008479404	0.24	0.11	0.14	0.23	0.13	0.15
Republican	0.5169	Ohio	57151	2911	24.9	7696	65.8	488.9	868762	7432	0.07	3/9/2020	17	5/20/2020	1	49	5/20/2020	3/24/2020	15	1	41	5/4/2020	4/29/2020	51	1	480	260.77	11689442	13.9	39.8	124264	0.010630448	0.22	0.09	0.13	0.25	0.14	0.17
Republican	0.6532	Oklahoma	15776	416	10.6	3409	86.5	400.1	364717	9249.5	0.04	3/15/2020	8	4/1/2020	1	0	0	4/1/2020	17	1	23	4/24/2020	0	0	0	539	56.41	3943079	15.6	40.8	40933	0.010380974	0.26	0.09	0.13	0.24	0.13	0.16
Democrat	0.5007	Oregon	10230	215	5.1	2136	51	244.1	264201	6304.4	0.04	3/8/2020	15	3/23/2020	1	88	6/19/2020	3/17/2020	9	0	59	5/15/2020	5/9/2020	62	1	648	42.6	4190713	12.6	39.8	36187	0.008635046	0.22	0.08	0.13	0.26	0.13	0.18
Republican	0.4858	Pennsylvania	90304	6754	52.7	4808	37.5	705.1	824700	6439.4	0.11	3/6/2020	26	4/1/2020	1	65	6/5/2020	3/19/2020	13	1	78	6/5/2020	4/19/2020	44	1	572	278.09	12807060	12.2	39.8	134702	0.010517793	0.22	0.08	0.12	0.25	0.14	0.18
Democrat	0.5441	Rhode Island	16991	960	90.8	330	31.2	1607	250954	23735	0.07	3/9/2020	19	3/28/2020	1	42	5/9/2020	3/30/2020	21	1	40	5/9/2020	4/18/2020	40	1	190	684.35	1057315	12.9	38.3	10083	0.00953642	0.2	0.09	0.13	0.26	0.15	0.17
Republican	0.5494	South Carolina	44847	820	16.1	12908	253.9	882.1	430809	8473.6	0.1	3/13/2020	25	4/7/2020	1	27	5/4/2020	4/1/2020	19	1	19	4/20/2020	0	0	0	326	158.78	5084127	15.3	41.4	50640	0.009960412	0.23	0.09	0.11	0.25	0.14	0.18
Republican	0.6153	South Dakota	7063	97	11	437	49.5	800.6	84003	9521.6	0.08	3/13/2020	10	3/23/2020	1	36	4/28/2020	0	0	0	0	0	0	0	0	414	11.44	882235	13.1	35.3	7971	0.009035008	0.26	0.09	0.11	0.24	0.14	0.16
Republican	0.6072	Tennessee	51431	646	9.5	11259	166.3	759.7	896166	13237.3	0.06	3/12/2020	21	4/2/2020	1	29	5/1/2020	4/1/2020	20	1	30	5/1/2020	0	0	0	275	160.64	6770010	15.3	41.6	71078	0.010498951	0.24	0.09	0.12	0.26	0.13	0.16
Republican	0.5223	Texas	195239	2637	9.2	51868	180.7	680.2	2133457	7433.2	0.09	3/13/2020	18	3/31/2020	1	30	4/30/2020	3/31/2020	18	1	31	5/1/2020	5/8/2020	56	1	521	106.86	28701845	14.9	34.8	202211	0.007045227	0.27	0.09	0.13	0.26	0.11	0.13
Republican	0.4554	Utah	25500	185	5.9	4514	142.8	806.7	371308	11746.1	0.07	3/6/2020	21	3/27/2020	1	35	5/1/2020	3/19/2020	13	0	43	5/1/2020	4/10/2020	35	1	580	37.23	3161105	9	30	18354	0.005806198	0.31	0.11	0.13	0.24	0.1	0.11
Democrat	0.5572	Vermont	1251	56	8.9	51	8.1	199.7	70024	11180.6	0.02	3/13/2020	12	3/25/2020	1	51	5/15/2020	3/25/2020	12	1	33	4/27/2020	4/17/2020	35	1	513	65.13	626299	11	39.1	6027	0.009623199	0.19	0.08	0.11	0.25	0.16	0.2
Democrat	0.4975	Virginia	66102	1853	21.8	4366	51.3	776.1	709355	8328	0.09	3/12/2020	18	3/30/2020	1	60	5/29/2020	3/25/2020	13	0	65	5/29/2020	5/29/2020	78	1	378	199.13	8517685	10.7	35.9	69359	0.00814294	0.24	0.09	0.12	0.26	0.13	0.16
Democrat	0.5254	Washington	35898	1359	18	4494	59.6	476.4	607276	8058.8	0.06	2/29/2020	23	3/23/2020	1	70	6/1/2020	3/25/2020	25	1	41	5/5/2020	5/4/2020	65	1	790	105.69	7535591	10.3	35.1	56877	0.007547782	0.23	0.08	0.14	0.26	0.13	0.16
Republican	0.6863	West Virginia	3335	95	5.3	553	30.6	184.7	184821	10234.7	0.02	3/16/2020	8	3/24/2020	1	41	5/4/2020	3/24/2020	8	1	41	5/4/2020	5/4/2020	49	1	424	74.53	1805832	17.8	49.3	23478	0.013001209	0.21	0.08	0.11	0.25	0.15	0.2
Republican	0.4722	Wisconsin	34740	803	13.8	4513	77.6	597.6	618851	10644.9	0.06	3/12/2020	13	3/25/2020	1	49	5/13/2020	3/25/2020	13	1	47	5/11/2020	0	0	0	370	88.76	5813568	11	36.5	53684	0.00923426	0.23	0.09	0.11	0.26	0.14	0.17
Republican	0.674	Wyoming	1634	20	3.5	242	41.9	282.8	35327	6114.7	0.05	3/13/2020	0	0	0	0	0	3/19/2020	6	0	43	5/1/2020	5/1/2020	49	1	508	5.91	577737	11.1	36.4	5070	0.008775619	0.24	0.08	0.12	0.24	0.14	0.17
